budget,id,original_language,original_title,popularity,revenue,status,vote_average,vote_count
0,129467,sv,"Släpp fångarne loss, det är vår!",1.463872,0.0,Released,5.8,9.0
0,27764,en,Slumber Party Massacre II,1.718146,0.0,Released,5.0,30.0
0,25318,en,Escape from Sobibor,3.515282,0.0,Released,6.7,50.0
240000,139357,ta,Pizza,0.602301,2800000.0,Released,5.5,11.0
17000000,38117,en,Beastly,7.364563,43165571.0,Released,5.9,878.0
0,171846,ja,キラーズ,2.129976,0.0,Released,6.8,39.0
0,23045,en,Killers from Space,1.135331,0.0,Released,3.7,13.0
0,20530,ja,晩春,5.306325,0.0,Released,8.2,70.0
3000000,43417,en,The Magnificent Seven Ride!,2.366529,0.0,Released,5.5,12.0
0,42093,de,Marlene,1e-06,0.0,Released,7.3,4.0
0,38804,en,The Emperor Waltz,1.300086,0.0,Released,6.0,1.0
0,46586,en,The Gambler and the Lady,0.192303,0.0,Released,5.5,3.0
0,83271,es,Año Mariano,0.06928,0.0,Released,2.0,1.0
0,124619,en,Lotto Land,0.042365,0.0,Released,7.0,1.0
2800000,347979,ru,Гороскоп на удачу,0.502326,964206.0,Released,5.0,4.0
0,329690,en,Comedy Central Roast of Roseanne,0.744095,0.0,Released,6.2,11.0
0,31218,en,The Firm,2.481581,0.0,Released,6.2,23.0
2900000,13012,en,Felon,9.094276,0.0,Released,7.1,239.0
0,43880,en,Rose Marie,0.773081,0.0,Released,0.0,0.0
0,27442,en,Senseless,0.467144,0.0,Released,7.5,4.0
0,24685,fr,Vipère au poing,1.818566,0.0,Released,6.4,28.0
0,39395,en,Boogie,0.472286,0.0,Released,6.6,7.0
5000000,9844,en,The Opposite of Sex,14.734622,5879254.0,Released,5.9,56.0
500000,57186,sr,Šišanje,1.018477,198.0,Released,5.9,14.0
6907750,9551,de,Dieter - Der Film,0.836297,0.0,Released,2.7,7.0
0,64651,en,Stray Cat Rock: Sex Hunter,0.60719,0.0,Released,6.4,9.0
0,27724,en,Psychopathia Sexualis,0.474898,0.0,Released,5.0,1.0
0,10075,en,Blood and Chocolate,5.415846,0.0,Released,5.5,92.0
0,101652,it,Giochi erotici nella terza galassia,0.00022,0.0,Released,3.0,3.0
0,433084,en,Joshua: Teenager vs. Superpower,0.592573,0.0,Released,6.9,7.0
0,359305,en,An Inspector Calls,1.954596,0.0,Released,7.6,42.0
0,178569,en,Jail Busters,0.164536,0.0,Released,6.0,2.0
30000000,4512,en,The Assassination of Jesse James by the Coward Robert Ford,10.111313,14711793.0,Released,7.0,792.0
0,395278,en,Wizard Mode,0.21412,0.0,Released,7.0,5.0
0,212168,ja,攻殻機動隊ARISE border : 2 Ghost Whispers,3.739978,0.0,Released,7.4,31.0
0,19754,en,The Amy Fisher Story,1.997741,0.0,Released,3.5,8.0
0,24632,en,The Mad,1.464656,0.0,Released,5.8,19.0
0,26444,en,Death Hunt,5.674684,0.0,Released,6.1,34.0
25000000,10677,en,Dirty Dancing: Havana Nights,4.475359,27685016.0,Released,6.0,154.0
0,40863,en,成龍的特技,2.935717,0.0,Released,7.0,18.0
3150000,312791,en,GirlHouse,14.386348,0.0,Released,5.2,99.0
0,31378,ja,宮本武蔵完結編　決闘巌流島,2.62459,0.0,Released,7.4,24.0
0,63318,fr,"L'une chante, l'autre pas",0.008939,0.0,Released,6.5,2.0
0,41312,en,Angels One Five,0.82721,0.0,Released,5.8,13.0
0,323396,el,Τετάρτη 04:45,0.445141,0.0,Released,7.3,3.0
0,22192,sv,Jönssonligan dyker upp igen,1.24269,0.0,Released,5.3,15.0
0,16219,en,Gladiator 1992,2.660772,9.0,Released,5.7,28.0
0,296456,en,Christian Mingle,1.585224,0.0,Released,5.4,8.0
0,158232,en,Greenwich Village: Music That Defined a Generation,0.116848,0.0,Released,7.7,3.0
3000000,8052,en,Hard Eight,7.04756,222559.0,Released,6.8,177.0
0,43257,en,Bundle of Joy,0.441986,0.0,Released,7.0,5.0
0,11602,sv,Såsom i en spegel,4.955553,0.0,Released,7.6,98.0
